carat,cut,color,clarity,depth,table,price,x,y,z,volume,cut_rk,color_rk,clarity_rk
0.7,Ideal,E,VS1,61.2,56.0,4000,5.72,5.75,3.51,115.44,1,2,4
0.52,Ideal,H,VS1,61.4,56.0,1408,5.2,5.23,3.2,87.03,1,5,4
1.59,Ideal,H,VS1,60.7,56.0,13839,7.54,7.58,4.59,262.33,1,5,4
0.32,Ideal,H,VS1,63.0,57.0,720,4.35,4.32,2.73,51.3,1,5,4
0.5,Ideal,H,VS1,61.7,59.0,1429,5.07,5.14,3.15,82.09,1,5,4
0.3,Good,H,VS1,63.1,57.0,526,4.24,4.26,2.68,48.41,4,5,4
0.32,Ideal,E,VS1,61.7,57.0,972,4.42,4.39,2.72,52.78,1,2,4
0.41,Premium,E,VS1,62.0,57.0,1153,4.77,4.74,2.95,66.7,2,2,4
0.27,Ideal,H,VS1,61.6,56.0,480,4.18,4.2,2.58,45.29,1,5,4
0.27,Ideal,H,VS1,61.6,56.0,480,4.16,4.19,2.57,44.8,1,5,4
0.26,Ideal,H,VS1,62.1,56.0,448,4.13,4.15,2.56,43.88,1,5,4
1.01,Fair,H,VS1,67.1,59.0,3676,6.16,6.09,4.11,154.18,5,5,4
1.5,Fair,H,VS1,64.8,55.0,8044,7.25,7.2,4.68,244.3,5,5,4
0.26,Ideal,H,VS1,62.6,56.0,448,4.07,4.09,2.55,42.45,1,5,4
0.33,Ideal,H,VS1,62.0,55.0,743,4.46,4.44,2.76,54.65,1,5,4
0.33,Ideal,H,VS1,61.9,56.0,743,4.48,4.44,2.76,54.9,1,5,4
0.33,Ideal,H,VS1,61.5,56.0,743,4.47,4.44,2.74,54.38,1,5,4
0.41,Premium,E,VS1,62.8,58.0,1153,4.72,4.7,2.96,65.66,2,2,4
0.33,Ideal,H,VS1,61.7,54.0,743,4.47,4.45,2.75,54.7,1,5,4
0.91,Very Good,E,VS1,61.9,59.0,5259,6.17,6.23,3.84,147.61,3,2,4
0.41,Premium,E,VS1,61.8,58.0,1153,4.75,4.73,2.93,65.83,2,2,4
0.33,Ideal,H,VS1,61.8,56.0,743,4.46,4.41,2.74,53.89,1,5,4
0.41,Premium,E,VS1,62.3,59.0,1153,4.76,4.74,2.96,66.78,2,2,4
0.26,Ideal,H,VS1,61.9,55.0,448,4.1,4.13,2.55,43.18,1,5,4
1.5,Premium,D,VS1,62.8,58.0,16793,7.29,7.26,4.57,241.87,2,1,4
0.31,Ideal,D,VS1,60.5,55.0,877,4.43,4.39,2.67,51.93,1,1,4
1.7,Ideal,H,VS1,62.4,55.0,13949,7.69,7.61,4.77,279.14,1,5,4
0.31,Ideal,D,VS1,62.1,57.0,877,4.35,4.32,2.69,50.55,1,1,4
0.31,Ideal,D,VS1,61.8,55.0,877,4.36,4.34,2.69,50.9,1,1,4
0.39,Ideal,H,VS1,61.9,57.0,740,4.71,4.76,2.93,65.69,1,5,4
1.56,Very Good,I,VS1,62.7,58.0,9857,7.42,7.37,4.64,253.74,3,6,4
0.31,Ideal,D,VS1,62.0,54.0,877,4.36,4.35,2.7,51.21,1,1,4
0.23,Ideal,E,VS1,61.9,55.0,586,3.94,3.98,2.45,38.42,1,2,4
1.0,Premium,D,VS1,62.1,55.0,7812,6.41,6.34,3.96,160.93,2,1,4
0.57,Ideal,H,VS1,61.0,57.0,1922,5.37,5.34,3.26,93.48,1,5,4
0.38,Ideal,E,VS1,61.9,55.2,979,4.62,4.65,2.87,61.66,1,2,4
0.41,Premium,E,VS1,62.0,60.0,1153,4.78,4.74,2.95,66.84,2,2,4
0.7,Fair,H,VS1,67.2,55.0,1811,5.48,5.54,3.7,112.33,5,5,4
1.02,Fair,H,VS1,71.8,56.0,4455,6.04,5.97,4.31,155.41,5,5,4
1.0,Premium,D,VS1,62.7,54.0,7812,6.38,6.35,3.99,161.65,2,1,4
0.33,Ideal,H,VS1,61.4,57.0,743,4.49,4.44,2.74,54.62,1,5,4
0.33,Ideal,D,VS1,61.0,56.0,1077,4.47,4.45,2.72,54.1,1,1,4
0.33,Ideal,H,VS1,60.2,57.0,743,4.54,4.5,2.72,55.57,1,5,4
0.23,Ideal,E,VS1,61.5,54.0,586,3.96,3.97,2.44,38.36,1,2,4
0.85,Ideal,E,VS1,63.0,57.0,4189,6.08,5.99,3.8,138.39,1,2,4
0.43,Ideal,H,VS1,61.2,55.0,1329,4.87,4.9,2.99,71.35,1,5,4
1.19,Ideal,H,VS1,62.1,54.0,7181,6.8,6.83,4.23,196.46,1,5,4
0.91,Very Good,E,VS1,61.8,60.0,5530,6.17,6.2,3.82,146.13,3,2,4
1.5,Very Good,E,VS1,59.0,62.0,15957,7.45,7.47,4.4,244.87,3,2,4
0.28,Ideal,H,VS1,62.2,54.0,476,4.18,4.21,2.61,45.93,1,5,4
0.4,Good,I,VS1,63.8,55.0,945,4.69,4.65,2.98,64.99,4,6,4
0.77,Very Good,I,VS1,62.2,59.0,2682,5.83,5.85,3.63,123.8,3,6,4
0.41,Premium,E,VS1,60.4,58.0,1153,4.82,4.78,2.9,66.81,2,2,4
0.28,Very Good,E,VS1,62.2,59.0,428,4.19,4.23,2.62,46.44,3,2,4
1.52,Ideal,H,VS1,60.1,60.0,11946,7.54,7.51,4.52,255.95,1,5,4
1.0,Premium,D,VS1,62.7,62.0,7812,6.23,6.21,3.9,150.88,2,1,4
0.4,Premium,E,VS1,61.2,59.0,1053,4.72,4.76,2.9,65.15,2,2,4
0.41,Premium,E,VS1,61.2,58.0,1153,4.78,4.76,2.92,66.44,2,2,4
0.28,Ideal,H,VS1,62.1,55.0,476,4.17,4.21,2.6,45.64,1,5,4
1.21,Premium,H,VS1,61.9,60.0,6607,6.88,6.78,4.23,197.31,2,5,4
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,43.7,4,1,4
0.77,Ideal,E,VS1,62.0,56.0,3697,5.87,5.9,3.65,126.41,1,2,4
0.7,Fair,H,VS1,59.6,66.0,2395,5.8,5.74,3.44,114.52,5,5,4
1.67,Ideal,H,VS1,61.8,56.0,14014,7.6,7.57,4.69,269.83,1,5,4
1.33,Premium,I,VS1,61.5,58.0,7090,7.06,7.02,4.33,214.6,2,6,4
0.72,Very Good,H,VS1,62.8,56.0,2206,5.72,5.77,3.61,119.15,3,5,4
0.41,Premium,E,VS1,62.2,57.0,1153,4.78,4.74,2.96,67.07,2,2,4
1.51,Very Good,I,VS1,60.5,60.0,9704,7.42,7.46,4.5,249.09,3,6,4
0.41,Ideal,H,VS1,61.8,56.0,962,4.78,4.73,2.94,66.47,1,5,4
1.39,Very Good,E,VS1,60.9,61.0,12614,7.15,7.19,4.37,224.66,3,2,4
0.31,Very Good,E,VS1,61.9,56.0,636,4.32,4.37,2.69,50.78,3,2,4
0.32,Ideal,I,VS1,60.9,56.0,648,4.46,4.44,2.71,53.66,1,6,4
0.38,Ideal,H,VS1,62.4,53.0,754,4.67,4.69,2.92,63.95,1,5,4
0.32,Ideal,I,VS1,62.3,57.0,648,4.42,4.37,2.74,52.92,1,6,4
0.71,Premium,D,VS1,61.6,58.0,3479,5.78,5.72,3.54,117.04,2,1,4
0.24,Very Good,E,VS1,62.4,59.0,419,3.94,3.98,2.47,38.73,3,2,4
0.24,Very Good,E,VS1,59.8,58.0,419,4.02,4.11,2.43,40.15,3,2,4
1.78,Premium,H,VS1,60.2,59.0,15460,7.83,7.96,4.75,296.05,2,5,4
0.42,Ideal,H,VS1,61.0,57.0,1299,4.85,4.89,2.97,70.44,1,5,4
0.9,Very Good,E,VS1,60.7,61.0,5102,6.21,6.24,3.78,146.48,3,2,4
1.07,Ideal,I,VS1,62.0,57.0,5207,6.5,6.56,4.05,172.69,1,6,4
0.34,Premium,I,VS1,59.5,59.0,689,4.59,4.55,2.72,56.81,2,6,4
0.72,Ideal,E,VS1,62.1,54.0,3690,5.74,5.76,3.57,118.03,1,2,4
0.28,Very Good,E,VS1,62.8,60.0,434,4.16,4.21,2.63,46.06,3,2,4
1.3,Very Good,I,VS1,62.1,59.0,7333,6.97,7.01,4.34,212.05,3,6,4
1.5,Ideal,H,VS1,61.0,56.8,11557,7.36,7.4,4.5,245.09,1,5,4
0.26,Ideal,H,VS1,62.3,54.0,482,4.07,4.11,2.55,42.66,1,5,4
0.64,Ideal,I,VS1,60.8,54.0,1589,5.55,5.6,3.39,105.36,1,6,4
0.41,Ideal,H,VS1,61.8,56.0,750,4.73,4.78,2.94,66.47,1,5,4
0.47,Premium,H,VS1,61.8,58.0,1143,4.94,4.99,3.07,75.68,2,5,4
0.26,Ideal,H,VS1,62.2,54.0,482,4.09,4.11,2.55,42.87,1,5,4
1.0,Fair,H,VS1,65.4,61.0,4368,6.22,6.17,4.05,155.43,5,5,4
0.24,Very Good,E,VS1,61.7,60.0,430,3.97,4.0,2.46,39.06,3,2,4
0.26,Ideal,E,VS1,61.8,55.0,580,4.13,4.09,2.54,42.9,1,2,4
0.3,Very Good,E,VS1,63.4,55.0,660,4.26,4.29,2.71,49.53,3,2,4
1.44,Fair,H,VS1,58.1,69.0,7338,7.49,7.34,4.32,237.5,5,5,4
0.26,Ideal,H,VS1,62.1,55.0,482,4.07,4.11,2.54,42.49,1,5,4
0.77,Ideal,I,VS1,60.9,57.0,2736,5.92,5.94,3.61,126.94,1,6,4
0.72,Very Good,I,VS1,60.7,56.0,2401,5.78,5.82,3.52,118.41,3,6,4
1.21,Premium,H,VS1,61.2,60.0,6056,6.77,6.86,4.17,193.66,2,5,4
1.19,Ideal,D,VS1,61.1,57.0,10079,6.84,6.87,4.19,196.89,1,1,4
0.32,Ideal,E,VS1,61.7,56.0,972,4.42,4.39,2.72,52.78,1,2,4
0.3,Good,H,VS1,63.4,53.0,526,4.25,4.3,2.71,49.53,4,5,4
0.57,Good,H,VS1,63.7,51.0,1728,5.36,5.29,3.39,96.12,4,5,4
0.32,Ideal,E,VS1,61.9,56.0,972,4.41,4.38,2.72,52.54,1,2,4
0.31,Good,H,VS1,64.0,59.0,698,4.28,4.25,2.73,49.66,4,5,4
0.31,Good,H,VS1,63.6,55.0,698,4.32,4.29,2.74,50.78,4,5,4
0.42,Premium,E,VS1,62.2,59.0,1105,4.76,4.79,2.97,67.72,2,2,4
0.34,Premium,I,VS1,61.0,60.0,689,4.51,4.48,2.74,55.36,2,6,4
0.5,Fair,H,VS1,66.3,55.0,1136,4.86,4.91,3.24,77.31,5,5,4
0.5,Ideal,H,VS1,60.5,57.0,1449,5.15,5.19,3.13,83.66,1,5,4
0.51,Premium,D,VS1,60.0,58.0,2203,5.19,5.14,3.1,82.7,2,1,4
0.26,Ideal,H,VS1,62.2,55.0,482,4.12,4.14,2.57,43.84,1,5,4
0.28,Ideal,H,VS1,62.3,55.0,481,4.21,4.24,2.63,46.95,1,5,4
0.7,Fair,H,VS1,64.9,56.0,2152,5.68,5.56,3.65,115.27,5,5,4
0.32,Very Good,E,VS1,62.9,57.0,661,4.36,4.39,2.75,52.64,3,2,4
1.29,Very Good,E,VS1,61.8,57.0,10780,6.99,6.93,4.3,208.3,3,2,4
1.21,Very Good,E,VS1,60.0,58.0,10430,6.89,6.97,4.16,199.78,3,2,4
1.33,Premium,I,VS1,61.7,58.0,6390,7.09,7.14,4.39,222.23,2,6,4
1.06,Premium,H,VS1,62.5,58.0,5549,6.5,6.47,4.05,170.32,2,5,4
0.41,Premium,E,VS1,60.1,58.0,1079,4.81,4.84,2.9,67.51,2,2,4
1.01,Good,D,VS1,61.1,56.0,6612,6.36,6.43,3.91,159.9,4,1,4
0.55,Very Good,H,VS1,61.0,56.0,1643,5.26,5.3,3.22,89.77,3,5,4
0.74,Ideal,E,VS1,62.2,55.0,3888,5.79,5.82,3.61,121.65,1,2,4
0.32,Ideal,E,VS1,61.5,56.0,972,4.4,4.38,2.7,52.03,1,2,4
0.8,Premium,E,VS1,61.7,58.0,3967,5.98,5.95,3.68,130.94,2,2,4
1.16,Ideal,H,VS1,62.4,56.0,7175,6.71,6.73,4.19,189.21,1,5,4
1.5,Fair,H,VS1,61.7,60.0,11007,7.37,7.27,4.52,242.18,5,5,4
0.74,Fair,H,VS1,66.3,63.0,2193,5.63,5.5,3.69,114.26,5,5,4
0.3,Very Good,E,VS1,60.2,57.0,653,4.37,4.3,2.61,49.04,3,2,4
0.3,Very Good,E,VS1,61.4,59.0,653,4.32,4.28,2.64,48.81,3,2,4
1.0,Fair,H,VS1,57.4,68.0,4368,6.52,6.47,3.73,157.35,5,5,4
0.92,Very Good,E,VS1,61.3,57.0,5210,6.22,6.27,3.83,149.37,3,2,4
1.31,Premium,I,VS1,58.5,60.0,6737,7.18,7.15,4.19,215.1,2,6,4
1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,160.12,5,5,4
0.46,Ideal,H,VS1,62.3,53.0,983,4.96,4.99,3.1,76.73,1,5,4
0.4,Premium,E,VS1,60.4,59.0,1125,4.81,4.76,2.89,66.17,2,2,4
1.5,Very Good,E,VS1,59.5,61.0,16988,7.43,7.46,4.43,245.55,3,2,4
0.26,Ideal,H,VS1,62.2,55.0,482,4.08,4.09,2.54,42.39,1,5,4
0.31,Very Good,H,VS1,61.4,61.0,544,4.33,4.36,2.67,50.41,3,5,4
0.4,Premium,E,VS1,60.3,58.0,1125,4.82,4.8,2.9,67.09,2,2,4
0.4,Premium,E,VS1,62.8,59.0,1125,4.67,4.63,2.92,63.14,2,2,4
1.57,Fair,H,VS1,67.3,66.0,8133,7.85,5.75,3.87,174.68,5,5,4
0.4,Premium,E,VS1,62.5,58.0,1125,4.72,4.69,2.94,65.08,2,2,4
0.75,Ideal,I,VS1,61.1,59.0,2659,5.85,5.87,3.58,122.94,1,6,4
0.4,Premium,E,VS1,62.4,54.0,1125,4.75,4.71,2.95,66.0,2,2,4
1.51,Fair,H,VS1,58.0,67.0,11263,7.63,7.57,4.41,254.72,5,5,4
0.4,Premium,E,VS1,60.5,61.0,1125,4.74,4.72,2.86,63.99,2,2,4
0.4,Premium,E,VS1,61.2,59.0,1125,4.76,4.72,2.9,65.15,2,2,4
0.4,Premium,E,VS1,61.8,55.0,1125,4.76,4.72,2.93,65.83,2,2,4
0.46,Ideal,H,VS1,61.9,55.0,1353,4.95,4.99,3.08,76.08,1,5,4
1.03,Ideal,I,VS1,60.9,56.0,5206,6.52,6.59,3.99,171.44,1,6,4
0.9,Premium,H,VS1,62.7,60.0,4234,6.12,6.07,3.82,141.91,2,5,4
0.8,Very Good,H,VS1,62.7,56.0,3144,5.88,5.96,3.71,130.02,3,5,4
0.4,Premium,E,VS1,62.5,58.0,1053,4.69,4.72,2.94,65.08,2,2,4
0.77,Fair,H,VS1,64.6,56.4,2594,5.78,5.84,3.75,126.58,5,5,4
0.41,Premium,E,VS1,61.9,59.0,1153,4.8,4.77,2.96,67.77,2,2,4
0.27,Ideal,E,VS1,61.6,55.0,603,4.18,4.16,2.57,44.69,1,2,4
0.5,Good,I,VS1,61.2,61.0,1193,5.03,5.06,3.09,78.65,4,6,4
1.05,Very Good,H,VS1,59.5,56.0,6132,6.62,6.68,3.96,175.12,3,5,4
0.27,Ideal,I,VS1,61.6,56.0,432,4.15,4.19,2.57,44.69,1,6,4
0.5,Very Good,H,VS1,62.5,59.0,1429,5.01,5.04,3.14,79.29,3,5,4
0.71,Good,D,VS1,64.2,58.0,3690,5.65,5.6,3.61,114.22,4,1,4
0.32,Ideal,D,VS1,60.4,56.0,706,4.44,4.46,2.69,53.27,1,1,4
0.61,Ideal,E,VS1,61.3,54.0,3004,5.53,5.5,3.38,102.8,1,2,4
0.56,Very Good,H,VS1,62.8,56.0,1580,5.23,5.28,3.3,91.13,3,5,4
0.44,Premium,E,VS1,60.7,58.0,1238,4.91,4.88,2.97,71.16,2,2,4
0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,44.2,1,2,4
0.27,Ideal,E,VS1,61.6,57.0,603,4.16,4.12,2.55,43.7,1,2,4
1.08,Premium,H,VS1,59.6,59.0,5582,6.72,6.66,3.99,178.57,2,5,4
1.07,Ideal,H,VS1,60.2,59.0,6479,6.66,6.69,4.02,179.11,1,5,4
0.67,Very Good,H,VS1,63.4,59.0,1981,5.53,5.57,3.52,108.42,3,5,4
0.38,Very Good,E,VS1,61.5,58.0,1000,4.64,4.69,2.87,62.46,3,2,4
1.04,Ideal,H,VS1,62.5,53.0,6368,6.5,6.52,4.07,172.49,1,5,4
1.21,Ideal,H,VS1,62.7,56.0,6784,6.79,6.84,4.27,198.31,1,5,4
0.75,Ideal,E,VS1,62.0,55.0,3402,5.88,5.83,3.66,125.47,1,2,4
0.27,Ideal,I,VS1,61.9,54.0,432,4.14,4.19,2.58,44.75,1,6,4
2.0,Ideal,I,VS1,62.0,57.0,17607,8.04,7.99,4.97,319.27,1,6,4
1.04,Ideal,H,VS1,62.0,54.0,6368,6.52,6.54,4.05,172.7,1,5,4
0.75,Ideal,I,VS1,61.9,54.1,2564,5.82,5.85,3.61,122.91,1,6,4
0.57,Ideal,I,VS1,61.0,56.0,1665,5.37,5.41,3.29,95.58,1,6,4
0.32,Ideal,D,VS1,61.1,56.0,707,4.44,4.47,2.72,53.98,1,1,4
1.11,Ideal,I,VS1,63.0,56.0,5152,6.61,6.57,4.15,180.22,1,6,4
0.38,Ideal,D,VS1,62.5,56.0,1067,4.64,4.67,2.91,63.06,1,1,4
0.4,Ideal,D,VS1,60.6,56.0,1072,4.82,4.78,2.91,67.05,1,1,4
0.41,Ideal,D,VS1,62.4,56.0,1105,4.75,4.8,2.98,67.94,1,1,4
1.04,Ideal,H,VS1,62.2,56.6,6255,6.43,6.49,4.02,167.76,1,5,4
1.01,Very Good,E,VS1,62.9,60.0,7332,6.33,6.43,4.01,163.21,3,2,4
0.32,Very Good,H,VS1,63.0,55.0,561,4.4,4.42,2.78,54.07,3,5,4
0.82,Ideal,I,VS1,61.4,57.0,2557,5.98,6.03,3.69,133.06,1,6,4
0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69,51.14,1,5,4
0.8,Very Good,E,VS1,62.4,54.0,4495,5.98,5.94,3.72,132.14,3,2,4
0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,50.9,1,5,4
1.21,Very Good,H,VS1,63.3,58.0,6871,6.77,6.72,4.27,194.26,3,5,4
0.9,Very Good,H,VS1,62.1,57.0,4455,6.17,6.23,3.85,147.99,3,5,4
0.43,Ideal,I,VS1,62.2,53.0,789,4.86,4.91,3.04,72.54,1,6,4
0.23,Very Good,E,VS1,60.4,62.0,378,3.93,3.99,2.39,37.48,3,2,4
0.23,Very Good,E,VS1,59.6,65.0,378,3.95,3.97,2.36,37.01,3,2,4
0.24,Very Good,E,VS1,60.1,57.0,378,4.08,4.1,2.46,41.15,3,2,4
1.01,Very Good,E,VS1,60.4,60.0,8403,6.43,6.48,3.9,162.5,3,2,4
0.9,Very Good,E,VS1,63.0,55.0,4449,6.08,6.15,3.85,143.96,3,2,4
0.27,Ideal,I,VS1,61.9,54.0,432,4.15,4.18,2.58,44.76,1,6,4
0.4,Very Good,E,VS1,63.3,55.0,909,4.66,4.69,2.96,64.69,3,2,4
0.77,Ideal,H,VS1,61.3,56.0,3468,5.91,5.97,3.64,128.43,1,5,4
0.42,Ideal,D,VS1,61.4,55.0,1075,4.9,4.8,2.98,70.09,1,1,4
0.27,Ideal,I,VS1,61.9,55.0,432,4.16,4.18,2.58,44.86,1,6,4
1.02,Very Good,E,VS1,60.1,59.0,7779,6.48,6.53,3.91,165.45,3,2,4
1.02,Very Good,H,VS1,61.4,56.5,6204,6.44,6.47,3.97,165.42,3,5,4
1.06,Very Good,E,VS1,63.0,58.0,7900,6.46,6.49,4.08,171.06,3,2,4
0.33,Premium,E,VS1,61.5,59.0,1002,4.46,4.42,2.73,53.82,2,2,4
0.91,Very Good,H,VS1,60.0,58.0,4514,6.29,6.38,3.8,152.49,3,5,4
1.01,Ideal,H,VS1,61.5,56.0,4779,6.48,6.43,3.97,165.42,1,5,4
0.36,Ideal,D,VS1,61.7,55.0,1131,4.58,4.6,2.83,59.62,1,1,4
0.35,Very Good,E,VS1,62.3,60.0,829,4.5,4.52,2.81,57.16,3,2,4
1.07,Ideal,H,VS1,62.3,55.0,6082,6.59,6.54,4.09,176.27,1,5,4
0.53,Very Good,I,VS1,59.9,58.0,1350,5.24,5.28,3.15,87.15,3,6,4
0.37,Very Good,E,VS1,62.8,55.0,818,4.61,4.63,2.9,61.9,3,2,4
1.27,Very Good,H,VS1,60.7,54.0,8235,7.01,7.05,4.27,211.03,3,5,4
0.27,Ideal,I,VS1,62.5,54.0,432,4.16,4.19,2.61,45.49,1,6,4
0.31,Ideal,D,VS1,62.1,56.0,704,4.3,4.36,2.69,50.43,1,1,4
1.01,Very Good,E,VS1,57.7,62.0,8668,6.57,6.63,3.81,165.96,3,2,4
0.33,Premium,I,VS1,61.1,59.0,521,4.44,4.47,2.72,53.98,2,6,4
0.27,Very Good,E,VS1,60.2,58.0,470,4.19,4.22,2.53,44.73,3,2,4
0.27,Very Good,E,VS1,62.9,56.0,470,4.12,4.15,2.6,44.45,3,2,4
0.27,Very Good,E,VS1,60.4,59.0,470,4.18,4.2,2.53,44.42,3,2,4
0.27,Very Good,E,VS1,61.9,59.0,470,4.16,4.21,2.59,45.36,3,2,4
0.32,Ideal,E,VS1,61.5,56.0,758,4.38,4.4,2.7,52.03,1,2,4
0.45,Ideal,H,VS1,62.0,54.0,888,4.92,4.95,3.06,74.52,1,5,4
0.9,Ideal,H,VS1,61.6,56.0,4592,6.17,6.13,3.79,143.35,1,5,4
0.36,Very Good,E,VS1,60.6,58.0,894,4.61,4.63,2.8,59.76,3,2,4
0.37,Very Good,E,VS1,62.0,56.0,925,4.59,4.63,2.86,60.78,3,2,4
1.01,Very Good,E,VS1,63.9,58.0,7597,6.31,6.36,4.05,162.53,3,2,4
0.41,Very Good,H,VS1,62.0,56.0,827,4.74,4.78,2.95,66.84,3,5,4
0.4,Very Good,E,VS1,61.8,56.0,1053,4.74,4.77,2.94,66.47,3,2,4
0.4,Very Good,E,VS1,60.1,58.0,1053,4.72,4.76,2.85,64.03,3,2,4
0.71,Ideal,I,VS1,61.6,56.0,2965,5.71,5.75,3.53,115.9,1,6,4
1.02,Premium,H,VS1,58.5,57.0,5569,6.65,6.61,3.88,170.55,2,5,4
0.31,Very Good,E,VS1,64.0,55.0,610,4.29,4.33,2.76,51.27,3,2,4
0.41,Very Good,H,VS1,62.8,59.0,827,4.73,4.64,2.94,64.52,3,5,4
0.44,Ideal,I,VS1,61.8,55.0,807,4.89,4.92,3.03,72.9,1,6,4
0.44,Ideal,I,VS1,61.1,56.0,807,4.92,4.96,3.02,73.7,1,6,4
0.74,Ideal,I,VS1,60.8,57.0,2557,5.86,5.88,3.57,123.01,1,6,4
0.82,Very Good,I,VS1,63.6,58.9,2583,5.88,5.93,3.76,131.11,3,6,4
0.29,Very Good,E,VS1,61.4,61.0,481,4.22,4.25,2.6,46.63,3,2,4
1.02,Very Good,E,VS1,58.9,59.0,7253,6.52,6.65,3.88,168.23,3,2,4
0.4,Very Good,E,VS1,60.3,58.0,980,4.8,4.82,2.9,67.09,3,2,4
1.05,Very Good,E,VS1,59.8,59.0,7666,6.57,6.75,3.98,176.5,3,2,4
1.83,Premium,I,VS1,61.9,57.0,13711,7.91,7.85,4.88,303.02,2,6,4
0.37,Premium,E,VS1,60.4,58.0,1124,4.66,4.61,2.8,60.15,2,2,4
0.9,Very Good,H,VS1,62.3,59.0,4592,6.12,6.17,3.83,144.62,3,5,4
0.4,Very Good,E,VS1,62.4,54.0,1053,4.71,4.75,2.95,66.0,3,2,4
0.4,Very Good,E,VS1,62.8,59.0,1053,4.63,4.67,2.92,63.14,3,2,4
0.71,Ideal,E,VS1,60.4,57.0,3464,5.75,5.81,3.49,116.59,1,2,4
0.75,Ideal,E,VS1,62.0,55.0,3462,5.83,5.88,3.66,125.47,1,2,4
0.31,Ideal,I,VS1,61.7,55.0,424,4.36,4.39,2.7,51.68,1,6,4
0.83,Very Good,H,VS1,63.1,60.0,3153,5.91,5.98,3.75,132.53,3,5,4
1.28,Very Good,H,VS1,61.2,55.0,8645,6.98,7.04,4.29,210.81,3,5,4
0.4,Very Good,E,VS1,60.5,61.0,1053,4.72,4.74,2.86,63.99,3,2,4
0.3,Ideal,I,VS1,61.0,58.0,491,4.3,4.33,2.63,48.97,1,6,4
0.4,Very Good,H,VS1,61.3,59.0,818,4.79,4.74,2.92,66.3,3,5,4
1.11,Very Good,H,VS1,63.2,57.0,6061,6.61,6.53,4.15,179.13,3,5,4
1.45,Premium,H,VS1,60.6,60.0,8550,7.27,7.16,4.37,227.47,2,5,4
0.71,Ideal,I,VS1,61.8,56.0,2965,5.68,5.72,3.52,114.36,1,6,4
1.02,Good,D,VS1,64.6,58.0,6797,6.22,6.28,4.04,157.81,4,1,4
1.06,Premium,H,VS1,62.1,60.0,5247,6.52,6.5,4.04,171.22,2,5,4
0.71,Ideal,I,VS1,61.3,57.0,2965,5.73,5.76,3.52,116.18,1,6,4
1.0,Very Good,E,VS1,59.4,56.0,7367,6.53,6.56,3.89,166.64,3,2,4
0.71,Ideal,I,VS1,61.5,56.0,2965,5.72,5.76,3.52,115.97,1,6,4
1.01,Very Good,E,VS1,63.4,58.0,7366,6.38,6.36,4.04,163.93,3,2,4
0.32,Very Good,H,VS1,61.7,61.0,561,4.38,4.43,2.72,52.78,3,5,4
0.7,Premium,H,VS1,60.2,56.0,2435,5.78,5.71,3.46,114.19,2,5,4
0.56,Ideal,H,VS1,60.2,57.0,1888,5.38,5.35,3.23,92.97,1,5,4
0.52,Very Good,H,VS1,63.5,58.0,1572,5.08,5.13,3.24,84.44,3,5,4
1.24,Very Good,H,VS1,62.6,54.0,7092,6.84,6.88,4.29,201.88,3,5,4
0.4,Very Good,H,VS1,63.4,58.0,1007,4.74,4.66,2.98,65.82,3,5,4
1.05,Ideal,I,VS1,61.5,55.0,5101,6.56,6.61,4.05,175.61,1,6,4
1.89,Ideal,H,VS1,61.6,56.0,17553,7.92,7.95,4.89,307.89,1,5,4
0.39,Very Good,I,VS1,63.1,58.0,921,4.68,4.61,2.93,63.21,3,6,4
0.33,Very Good,H,VS1,60.0,61.0,579,4.48,4.52,2.7,54.67,3,5,4
1.25,Premium,I,VS1,60.4,59.0,6545,6.94,7.01,4.21,204.81,2,6,4
0.5,Very Good,H,VS1,64.6,56.0,1426,4.97,5.06,3.24,81.48,3,5,4
0.41,Very Good,E,VS1,62.9,56.0,931,4.72,4.78,2.99,67.46,3,2,4
1.15,Very Good,H,VS1,62.5,56.0,7040,6.65,6.72,4.18,186.8,3,5,4
0.32,Very Good,H,VS1,60.5,59.0,561,4.41,4.42,2.67,52.04,3,5,4
0.33,Ideal,H,VS1,62.6,56.0,610,4.39,4.42,2.75,53.36,1,5,4
0.37,Very Good,E,VS1,60.2,56.0,925,4.68,4.71,2.83,62.38,3,2,4
1.1,Ideal,H,VS1,62.3,55.0,6586,6.57,6.61,4.1,178.05,1,5,4
0.72,Very Good,H,VS1,60.1,57.0,2594,5.79,5.85,3.5,118.55,3,5,4
0.7,Ideal,E,VS1,62.1,56.0,3472,5.7,5.66,3.53,113.88,1,2,4
1.01,Very Good,E,VS1,62.6,57.0,7306,6.28,6.37,3.96,158.41,3,2,4
1.2,Very Good,H,VS1,63.1,55.0,6814,6.82,6.77,4.29,198.08,3,5,4
0.4,Premium,E,VS1,60.1,58.0,1125,4.76,4.72,2.85,64.03,2,2,4
0.4,Very Good,E,VS1,62.9,56.0,959,4.67,4.71,2.95,64.89,3,2,4
0.73,Ideal,E,VS1,61.4,55.0,3471,5.8,5.82,3.57,120.51,1,2,4
